date	model	disc
20201204	아반떼 AD (G) F/L	65
20201205	아반떼 AD (G) F/L	65
20201206	아반떼 AD (G) F/L	65
20201207	아반떼 AD (G) F/L	70
20201208	아반떼 AD (G) F/L	70
20201209	아반떼 AD (G) F/L	70
20201210	아반떼 AD (G) F/L	65
20201211	아반떼 AD (G) F/L	65
20201212	아반떼 AD (G) F/L	65
20201213	아반떼 AD (G) F/L	65
20201214	아반떼 AD (G) F/L	55
20201215	아반떼 AD (G) F/L	65
20201216	아반떼 AD (G) F/L	60
20201217	아반떼 AD (G) F/L	55
20201218	아반떼 AD (G) F/L	55
20201219	아반떼 AD (G) F/L	50
20201220	아반떼 AD (G) F/L	45
20201221	아반떼 AD (G) F/L	45
20201222	아반떼 AD (G) F/L	45
20201223	아반떼 AD (G) F/L	35
20201224	아반떼 AD (G) F/L	20
20201225	아반떼 AD (G) F/L	10
20201226	아반떼 AD (G) F/L	15
20201227	아반떼 AD (G) F/L	10
20201228	아반떼 AD (G) F/L	15
20201229	아반떼 AD (G) F/L	10
20201230	아반떼 AD (G) F/L	10
20201231	아반떼 AD (G) F/L	5
20210101	아반떼 AD (G) F/L	10
20210102	아반떼 AD (G) F/L	25
20210103	아반떼 AD (G) F/L	45
20210104	아반떼 AD (G) F/L	70
20210105	아반떼 AD (G) F/L	70
20210106	아반떼 AD (G) F/L	75
20210107	아반떼 AD (G) F/L	70
20210108	아반떼 AD (G) F/L	65
20210109	아반떼 AD (G) F/L	70
20210110	아반떼 AD (G) F/L	70
20210111	아반떼 AD (G) F/L	70
20210112	아반떼 AD (G) F/L	70
20210113	아반떼 AD (G) F/L	70
20210114	아반떼 AD (G) F/L	60
20210115	아반떼 AD (G) F/L	65
20210116	아반떼 AD (G) F/L	65
20210117	아반떼 AD (G) F/L	65
20210118	아반떼 AD (G) F/L	70
20210119	아반떼 AD (G) F/L	70
20210120	아반떼 AD (G) F/L	70
20210121	아반떼 AD (G) F/L	65
20210122	아반떼 AD (G) F/L	70
20210123	아반떼 AD (G) F/L	70
20210124	아반떼 AD (G) F/L	65
20210125	아반떼 AD (G) F/L	75
20210126	아반떼 AD (G) F/L	75
20210127	아반떼 AD (G) F/L	75
20210128	아반떼 AD (G) F/L	70
20210129	아반떼 AD (G) F/L	70
20210130	아반떼 AD (G) F/L	70
20210131	아반떼 AD (G) F/L	70
20210201	아반떼 AD (G) F/L	75
20210202	아반떼 AD (G) F/L	75
20210203	아반떼 AD (G) F/L	75
20210204	아반떼 AD (G) F/L	70
20210205	아반떼 AD (G) F/L	70
20210206	아반떼 AD (G) F/L	70
20210207	아반떼 AD (G) F/L	70
20210208	아반떼 AD (G) F/L	75
20210209	아반떼 AD (G) F/L	75
20210210	아반떼 AD (G) F/L	60
20210211	아반떼 AD (G) F/L	45
20210212	아반떼 AD (G) F/L	40
20210213	아반떼 AD (G) F/L	40
20210214	아반떼 AD (G) F/L	60
20210215	아반떼 AD (G) F/L	75
20210216	아반떼 AD (G) F/L	75
20210217	아반떼 AD (G) F/L	75
20210218	아반떼 AD (G) F/L	70
20210219	아반떼 AD (G) F/L	70
20210220	아반떼 AD (G) F/L	70
20210221	아반떼 AD (G) F/L	70
20210222	아반떼 AD (G) F/L	75
20210223	아반떼 AD (G) F/L	75
20210224	아반떼 AD (G) F/L	75
20210225	아반떼 AD (G) F/L	70
20210226	아반떼 AD (G) F/L	70
20210227	아반떼 AD (G) F/L	70
20210228	아반떼 AD (G) F/L	70
20201204	올 뉴 아반떼 (G)	65
20201205	올 뉴 아반떼 (G)	65
20201206	올 뉴 아반떼 (G)	65
20201207	올 뉴 아반떼 (G)	70
20201208	올 뉴 아반떼 (G)	70
20201209	올 뉴 아반떼 (G)	70
20201210	올 뉴 아반떼 (G)	65
20201211	올 뉴 아반떼 (G)	65
20201212	올 뉴 아반떼 (G)	65
20201213	올 뉴 아반떼 (G)	65
20201214	올 뉴 아반떼 (G)	55
20201215	올 뉴 아반떼 (G)	65
20201216	올 뉴 아반떼 (G)	60
20201217	올 뉴 아반떼 (G)	55
20201218	올 뉴 아반떼 (G)	55
20201219	올 뉴 아반떼 (G)	50
20201220	올 뉴 아반떼 (G)	45
20201221	올 뉴 아반떼 (G)	45
20201222	올 뉴 아반떼 (G)	45
20201223	올 뉴 아반떼 (G)	35
20201224	올 뉴 아반떼 (G)	20
20201225	올 뉴 아반떼 (G)	10
20201226	올 뉴 아반떼 (G)	15
20201227	올 뉴 아반떼 (G)	10
20201228	올 뉴 아반떼 (G)	15
20201229	올 뉴 아반떼 (G)	10
20201230	올 뉴 아반떼 (G)	10
20201231	올 뉴 아반떼 (G)	5
20210101	올 뉴 아반떼 (G)	10
20210102	올 뉴 아반떼 (G)	25
20210103	올 뉴 아반떼 (G)	45
20210104	올 뉴 아반떼 (G)	70
20210105	올 뉴 아반떼 (G)	70
20210106	올 뉴 아반떼 (G)	75
20210107	올 뉴 아반떼 (G)	70
20210108	올 뉴 아반떼 (G)	65
20210109	올 뉴 아반떼 (G)	70
20210110	올 뉴 아반떼 (G)	70
20210111	올 뉴 아반떼 (G)	70
20210112	올 뉴 아반떼 (G)	70
20210113	올 뉴 아반떼 (G)	70
20210114	올 뉴 아반떼 (G)	60
20210115	올 뉴 아반떼 (G)	65
20210116	올 뉴 아반떼 (G)	65
20210117	올 뉴 아반떼 (G)	65
20210118	올 뉴 아반떼 (G)	70
20210119	올 뉴 아반떼 (G)	70
20210120	올 뉴 아반떼 (G)	70
20210121	올 뉴 아반떼 (G)	65
20210122	올 뉴 아반떼 (G)	70
20210123	올 뉴 아반떼 (G)	70
20210124	올 뉴 아반떼 (G)	65
20210125	올 뉴 아반떼 (G)	75
20210126	올 뉴 아반떼 (G)	75
20210127	올 뉴 아반떼 (G)	75
20210128	올 뉴 아반떼 (G)	70
20210129	올 뉴 아반떼 (G)	70
20210130	올 뉴 아반떼 (G)	70
20210131	올 뉴 아반떼 (G)	70
20210201	올 뉴 아반떼 (G)	75
20210202	올 뉴 아반떼 (G)	75
20210203	올 뉴 아반떼 (G)	75
20210204	올 뉴 아반떼 (G)	70
20210205	올 뉴 아반떼 (G)	70
20210206	올 뉴 아반떼 (G)	70
20210207	올 뉴 아반떼 (G)	70
20210208	올 뉴 아반떼 (G)	75
20210209	올 뉴 아반떼 (G)	75
20210210	올 뉴 아반떼 (G)	60
20210211	올 뉴 아반떼 (G)	45
20210212	올 뉴 아반떼 (G)	40
20210213	올 뉴 아반떼 (G)	40
20210214	올 뉴 아반떼 (G)	60
20210215	올 뉴 아반떼 (G)	75
20210216	올 뉴 아반떼 (G)	75
20210217	올 뉴 아반떼 (G)	75
20210218	올 뉴 아반떼 (G)	70
20210219	올 뉴 아반떼 (G)	70
20210220	올 뉴 아반떼 (G)	70
20210221	올 뉴 아반떼 (G)	70
20210222	올 뉴 아반떼 (G)	75
20210223	올 뉴 아반떼 (G)	75
20210224	올 뉴 아반떼 (G)	75
20210225	올 뉴 아반떼 (G)	70
20210226	올 뉴 아반떼 (G)	70
20210227	올 뉴 아반떼 (G)	70
20210228	올 뉴 아반떼 (G)	70
20201204	ALL NEW K3 (G)	60
20201205	ALL NEW K3 (G)	50
20201206	ALL NEW K3 (G)	55
20201207	ALL NEW K3 (G)	70
20201208	ALL NEW K3 (G)	70
20201209	ALL NEW K3 (G)	70
20201210	ALL NEW K3 (G)	65
20201211	ALL NEW K3 (G)	65
20201212	ALL NEW K3 (G)	65
20201213	ALL NEW K3 (G)	65
20201214	ALL NEW K3 (G)	65
20201215	ALL NEW K3 (G)	70
20201216	ALL NEW K3 (G)	70
20201217	ALL NEW K3 (G)	65
20201218	ALL NEW K3 (G)	65
20201219	ALL NEW K3 (G)	65
20201220	ALL NEW K3 (G)	65
20201221	ALL NEW K3 (G)	60
20201222	ALL NEW K3 (G)	60
20201223	ALL NEW K3 (G)	35
20201224	ALL NEW K3 (G)	20
20201225	ALL NEW K3 (G)	10
20201226	ALL NEW K3 (G)	10
20201227	ALL NEW K3 (G)	5
20201228	ALL NEW K3 (G)	10
20201229	ALL NEW K3 (G)	5
20201230	ALL NEW K3 (G)	5
20201231	ALL NEW K3 (G)	10
20210101	ALL NEW K3 (G)	10
20210102	ALL NEW K3 (G)	35
20210103	ALL NEW K3 (G)	50
20210104	ALL NEW K3 (G)	70
20210105	ALL NEW K3 (G)	75
20210106	ALL NEW K3 (G)	75
20210107	ALL NEW K3 (G)	70
20210108	ALL NEW K3 (G)	70
20210109	ALL NEW K3 (G)	70
20210110	ALL NEW K3 (G)	70
20210111	ALL NEW K3 (G)	75
20210112	ALL NEW K3 (G)	75
20210113	ALL NEW K3 (G)	75
20210114	ALL NEW K3 (G)	70
20210115	ALL NEW K3 (G)	70
20210116	ALL NEW K3 (G)	70
20210117	ALL NEW K3 (G)	70
20210118	ALL NEW K3 (G)	75
20210119	ALL NEW K3 (G)	75
20210120	ALL NEW K3 (G)	75
20210121	ALL NEW K3 (G)	70
20210122	ALL NEW K3 (G)	70
20210123	ALL NEW K3 (G)	70
20210124	ALL NEW K3 (G)	70
20210125	ALL NEW K3 (G)	75
20210126	ALL NEW K3 (G)	75
20210127	ALL NEW K3 (G)	75
20210128	ALL NEW K3 (G)	70
20210129	ALL NEW K3 (G)	70
20210130	ALL NEW K3 (G)	70
20210131	ALL NEW K3 (G)	70
20210201	ALL NEW K3 (G)	75
20210202	ALL NEW K3 (G)	75
20210203	ALL NEW K3 (G)	75
20210204	ALL NEW K3 (G)	70
20210205	ALL NEW K3 (G)	70
20210206	ALL NEW K3 (G)	70
20210207	ALL NEW K3 (G)	70
20210208	ALL NEW K3 (G)	75
20210209	ALL NEW K3 (G)	75
20210210	ALL NEW K3 (G)	60
20210211	ALL NEW K3 (G)	50
20210212	ALL NEW K3 (G)	50
20210213	ALL NEW K3 (G)	50
20210214	ALL NEW K3 (G)	75
20210215	ALL NEW K3 (G)	75
20210216	ALL NEW K3 (G)	75
20210217	ALL NEW K3 (G)	75
20210218	ALL NEW K3 (G)	70
20210219	ALL NEW K3 (G)	70
20210220	ALL NEW K3 (G)	70
20210221	ALL NEW K3 (G)	70
20210222	ALL NEW K3 (G)	75
20210223	ALL NEW K3 (G)	75
20210224	ALL NEW K3 (G)	75
20210225	ALL NEW K3 (G)	70
20210226	ALL NEW K3 (G)	70
20210227	ALL NEW K3 (G)	70
20210228	ALL NEW K3 (G)	70
20201204	더 올 뉴 벨로스터 (G)	50
20201205	더 올 뉴 벨로스터 (G)	45
20201206	더 올 뉴 벨로스터 (G)	50
20201207	더 올 뉴 벨로스터 (G)	70
20201208	더 올 뉴 벨로스터 (G)	70
20201209	더 올 뉴 벨로스터 (G)	70
20201210	더 올 뉴 벨로스터 (G)	65
20201211	더 올 뉴 벨로스터 (G)	65
20201212	더 올 뉴 벨로스터 (G)	65
20201213	더 올 뉴 벨로스터 (G)	65
20201214	더 올 뉴 벨로스터 (G)	45
20201215	더 올 뉴 벨로스터 (G)	60
20201216	더 올 뉴 벨로스터 (G)	70
20201217	더 올 뉴 벨로스터 (G)	60
20201218	더 올 뉴 벨로스터 (G)	60
20201219	더 올 뉴 벨로스터 (G)	65
20201220	더 올 뉴 벨로스터 (G)	50
20201221	더 올 뉴 벨로스터 (G)	45
20201222	더 올 뉴 벨로스터 (G)	40
20201223	더 올 뉴 벨로스터 (G)	35
20201224	더 올 뉴 벨로스터 (G)	20
20201225	더 올 뉴 벨로스터 (G)	15
20201226	더 올 뉴 벨로스터 (G)	30
20201227	더 올 뉴 벨로스터 (G)	20
20201228	더 올 뉴 벨로스터 (G)	30
20201229	더 올 뉴 벨로스터 (G)	35
20201230	더 올 뉴 벨로스터 (G)	10
20201231	더 올 뉴 벨로스터 (G)	10
20210101	더 올 뉴 벨로스터 (G)	15
20210102	더 올 뉴 벨로스터 (G)	30
20210103	더 올 뉴 벨로스터 (G)	65
20210104	더 올 뉴 벨로스터 (G)	70
20210105	더 올 뉴 벨로스터 (G)	75
20210106	더 올 뉴 벨로스터 (G)	80
20210107	더 올 뉴 벨로스터 (G)	75
20210108	더 올 뉴 벨로스터 (G)	75
20210109	더 올 뉴 벨로스터 (G)	75
20210110	더 올 뉴 벨로스터 (G)	75
20210111	더 올 뉴 벨로스터 (G)	80
20210112	더 올 뉴 벨로스터 (G)	75
20210113	더 올 뉴 벨로스터 (G)	75
20210114	더 올 뉴 벨로스터 (G)	70
20210115	더 올 뉴 벨로스터 (G)	70
20210116	더 올 뉴 벨로스터 (G)	70
20210117	더 올 뉴 벨로스터 (G)	70
20210118	더 올 뉴 벨로스터 (G)	75
20210119	더 올 뉴 벨로스터 (G)	75
20210120	더 올 뉴 벨로스터 (G)	75
20210121	더 올 뉴 벨로스터 (G)	70
20210122	더 올 뉴 벨로스터 (G)	70
20210123	더 올 뉴 벨로스터 (G)	70
20210124	더 올 뉴 벨로스터 (G)	70
20210125	더 올 뉴 벨로스터 (G)	75
20210126	더 올 뉴 벨로스터 (G)	75
20210127	더 올 뉴 벨로스터 (G)	75
20210128	더 올 뉴 벨로스터 (G)	70
20210129	더 올 뉴 벨로스터 (G)	75
20210130	더 올 뉴 벨로스터 (G)	75
20210131	더 올 뉴 벨로스터 (G)	75
20210201	더 올 뉴 벨로스터 (G)	80
20210202	더 올 뉴 벨로스터 (G)	80
20210203	더 올 뉴 벨로스터 (G)	80
20210204	더 올 뉴 벨로스터 (G)	70
20210205	더 올 뉴 벨로스터 (G)	75
20210206	더 올 뉴 벨로스터 (G)	75
20210207	더 올 뉴 벨로스터 (G)	75
20210208	더 올 뉴 벨로스터 (G)	80
20210209	더 올 뉴 벨로스터 (G)	80
20210210	더 올 뉴 벨로스터 (G)	65
20210211	더 올 뉴 벨로스터 (G)	55
20210212	더 올 뉴 벨로스터 (G)	50
20210213	더 올 뉴 벨로스터 (G)	55
20210214	더 올 뉴 벨로스터 (G)	75
20210215	더 올 뉴 벨로스터 (G)	80
20210216	더 올 뉴 벨로스터 (G)	80
20210217	더 올 뉴 벨로스터 (G)	80
20210218	더 올 뉴 벨로스터 (G)	75
20210219	더 올 뉴 벨로스터 (G)	75
20210220	더 올 뉴 벨로스터 (G)	75
20210221	더 올 뉴 벨로스터 (G)	75
20210222	더 올 뉴 벨로스터 (G)	80
20210223	더 올 뉴 벨로스터 (G)	80
20210224	더 올 뉴 벨로스터 (G)	80
20210225	더 올 뉴 벨로스터 (G)	70
20210226	더 올 뉴 벨로스터 (G)	70
20210227	더 올 뉴 벨로스터 (G)	70
20210228	더 올 뉴 벨로스터 (G)	70
20201204	쏘울 부스터 (G)	70
20201205	쏘울 부스터 (G)	70
20201206	쏘울 부스터 (G)	70
20201207	쏘울 부스터 (G)	70
20201208	쏘울 부스터 (G)	70
20201209	쏘울 부스터 (G)	70
20201210	쏘울 부스터 (G)	65
20201211	쏘울 부스터 (G)	65
20201212	쏘울 부스터 (G)	65
20201213	쏘울 부스터 (G)	65
20201214	쏘울 부스터 (G)	70
20201215	쏘울 부스터 (G)	70
20201216	쏘울 부스터 (G)	75
20201217	쏘울 부스터 (G)	70
20201218	쏘울 부스터 (G)	70
20201219	쏘울 부스터 (G)	70
20201220	쏘울 부스터 (G)	65
20201221	쏘울 부스터 (G)	60
20201222	쏘울 부스터 (G)	55
20201223	쏘울 부스터 (G)	35
20201224	쏘울 부스터 (G)	15
20201225	쏘울 부스터 (G)	15
20201226	쏘울 부스터 (G)	15
20201227	쏘울 부스터 (G)	25
20201228	쏘울 부스터 (G)	25
20201229	쏘울 부스터 (G)	15
20201230	쏘울 부스터 (G)	10
20201231	쏘울 부스터 (G)	15
20210101	쏘울 부스터 (G)	15
20210102	쏘울 부스터 (G)	40
20210103	쏘울 부스터 (G)	70
20210104	쏘울 부스터 (G)	80
20210105	쏘울 부스터 (G)	75
20210106	쏘울 부스터 (G)	80
20210107	쏘울 부스터 (G)	75
20210108	쏘울 부스터 (G)	75
20210109	쏘울 부스터 (G)	75
20210110	쏘울 부스터 (G)	70
20210111	쏘울 부스터 (G)	80
20210112	쏘울 부스터 (G)	80
20210113	쏘울 부스터 (G)	75
20210114	쏘울 부스터 (G)	70
20210115	쏘울 부스터 (G)	70
20210116	쏘울 부스터 (G)	75
20210117	쏘울 부스터 (G)	75
20210118	쏘울 부스터 (G)	80
20210119	쏘울 부스터 (G)	75
20210120	쏘울 부스터 (G)	75
20210121	쏘울 부스터 (G)	70
20210122	쏘울 부스터 (G)	75
20210123	쏘울 부스터 (G)	70
20210124	쏘울 부스터 (G)	75
20210125	쏘울 부스터 (G)	80
20210126	쏘울 부스터 (G)	80
20210127	쏘울 부스터 (G)	80
20210128	쏘울 부스터 (G)	70
20210129	쏘울 부스터 (G)	70
20210130	쏘울 부스터 (G)	70
20210131	쏘울 부스터 (G)	75
20210201	쏘울 부스터 (G)	80
20210202	쏘울 부스터 (G)	80
20210203	쏘울 부스터 (G)	80
20210204	쏘울 부스터 (G)	75
20210205	쏘울 부스터 (G)	75
20210206	쏘울 부스터 (G)	75
20210207	쏘울 부스터 (G)	75
20210208	쏘울 부스터 (G)	80
20210209	쏘울 부스터 (G)	80
20210210	쏘울 부스터 (G)	65
20210211	쏘울 부스터 (G)	55
20210212	쏘울 부스터 (G)	55
20210213	쏘울 부스터 (G)	55
20210214	쏘울 부스터 (G)	75
20210215	쏘울 부스터 (G)	80
20210216	쏘울 부스터 (G)	80
20210217	쏘울 부스터 (G)	80
20210218	쏘울 부스터 (G)	75
20210219	쏘울 부스터 (G)	75
20210220	쏘울 부스터 (G)	75
20210221	쏘울 부스터 (G)	75
20210222	쏘울 부스터 (G)	80
20210223	쏘울 부스터 (G)	80
20210224	쏘울 부스터 (G)	80
20210225	쏘울 부스터 (G)	75
20210226	쏘울 부스터 (G)	75
20210227	쏘울 부스터 (G)	75
20210228	쏘울 부스터 (G)	75