rent_day,res_model,res_day,seasonality,lead_time_vec,cnt_cum,disc_mean,lead_time
2020-12-01,soul,2020-10-26,1,-29,1,73.0,-36
2020-12-01,soul,2020-11-03,1,-28,2,71.5,-28
2020-12-01,soul,2020-11-25,1,-6,4,70.75,-6
2020-12-01,soul,2020-11-27,1,-4,5,71.6,-4
2020-12-01,soul,2020-11-28,1,-3,7,71.14285714285714,-3
2020-12-01,soul,2020-11-30,1,-1,9,71.44444444444444,-1
2020-12-01,soul,2020-12-01,1,0,11,72.63636363636364,0
2020-12-02,soul,2020-11-23,1,-9,1,70.0,-9
2020-12-02,soul,2020-11-28,1,-4,2,70.0,-4
2020-12-02,soul,2020-12-01,1,-1,3,71.66666666666667,-1
2020-12-03,soul,2020-09-19,2,-34,1,65.0,-75
2020-12-03,soul,2020-11-10,2,-23,2,65.0,-23
2020-12-03,soul,2020-11-11,2,-22,3,63.333333333333336,-22
2020-12-03,soul,2020-11-12,2,-21,4,63.75,-21
2020-12-03,soul,2020-11-16,2,-17,5,64.0,-17
2020-12-03,soul,2020-11-18,2,-15,6,64.16666666666667,-15
2020-12-03,soul,2020-11-19,2,-14,7,64.28571428571429,-14
2020-12-03,soul,2020-11-21,2,-12,8,66.25,-12
2020-12-03,soul,2020-11-26,2,-7,9,66.11111111111111,-7
2020-12-03,soul,2020-12-02,2,-1,11,66.36363636363636,-1
2020-12-04,soul,2020-11-06,2,-28,1,50.0,-28
2020-12-04,soul,2020-11-19,2,-15,2,59.0,-15
2020-12-04,soul,2020-11-20,2,-14,3,59.333333333333336,-14
2020-12-04,soul,2020-11-25,2,-9,4,60.75,-9
2020-12-04,soul,2020-12-03,2,-1,7,63.714285714285715,-1
2020-12-04,soul,2020-12-04,2,0,8,63.875,0
2020-12-05,soul,2020-11-18,2,-17,1,70.0,-17
2020-12-05,soul,2020-11-19,2,-16,2,67.5,-16
2020-12-05,soul,2020-11-21,2,-14,3,68.33333333333333,-14
2020-12-05,soul,2020-11-25,2,-10,4,71.25,-10
2020-12-05,soul,2020-12-01,2,-4,5,71.0,-4
2020-12-05,soul,2020-12-02,2,-3,6,69.16666666666667,-3
2020-12-05,soul,2020-12-03,2,-2,7,69.0,-2
2020-12-05,soul,2020-12-04,2,-1,8,69.125,-1
2020-12-05,soul,2020-12-05,2,0,10,67.8,0
2020-12-06,soul,2020-11-02,2,-28,1,65.0,-34
2020-12-06,soul,2020-11-09,2,-27,2,65.0,-27
2020-12-06,soul,2020-11-22,2,-14,3,66.66666666666667,-14
2020-12-06,soul,2020-12-01,2,-5,4,67.0,-5
2020-12-06,soul,2020-12-04,2,-2,5,66.6,-2
2020-12-06,soul,2020-12-05,2,-1,6,66.33333333333333,-1
2020-12-06,soul,2020-12-06,2,0,7,66.85714285714286,0
2020-12-07,soul,2020-09-08,1,-36,1,72.0,-90
2020-12-07,soul,2020-10-15,1,-31,2,70.0,-53
2020-12-07,soul,2020-11-17,1,-20,3,70.0,-20
2020-12-07,soul,2020-11-20,1,-17,4,71.25,-17
2020-12-07,soul,2020-12-02,1,-5,5,71.0,-5
2020-12-07,soul,2020-12-04,1,-3,7,71.14285714285714,-3
2020-12-07,soul,2020-12-07,1,0,8,71.625,0
2020-12-08,soul,2020-11-07,1,-28,1,70.0,-31
2020-12-08,soul,2020-11-20,1,-18,2,72.5,-18
2020-12-08,soul,2020-11-21,1,-17,3,73.33333333333333,-17
2020-12-08,soul,2020-12-02,1,-6,4,73.25,-6
2020-12-09,soul,2020-10-17,1,-31,1,70.0,-53
2020-12-09,soul,2020-10-31,1,-29,2,70.0,-39
2020-12-09,soul,2020-11-05,1,-28,3,71.0,-34
2020-12-09,soul,2020-11-14,1,-25,4,70.75,-25
2020-12-09,soul,2020-12-01,1,-8,5,71.6,-8
2020-12-09,soul,2020-12-05,1,-4,6,73.0,-4
2020-12-09,soul,2020-12-07,1,-2,7,73.28571428571429,-2
2020-12-09,soul,2020-12-08,1,-1,9,74.0,-1
2020-12-10,soul,2020-11-06,2,-28,1,50.0,-34
2020-12-10,soul,2020-11-19,2,-21,2,57.5,-21
2020-12-10,soul,2020-12-07,2,-3,3,61.0,-3
2020-12-11,soul,2020-11-10,2,-28,1,68.0,-31
2020-12-11,soul,2020-11-21,2,-20,3,66.0,-20
2020-12-11,soul,2020-11-24,2,-17,4,66.5,-17
2020-12-11,soul,2020-12-08,2,-3,5,67.2,-3
2020-12-11,soul,2020-12-09,2,-2,6,67.66666666666667,-2
2020-12-11,soul,2020-12-10,2,-1,8,66.375,-1
2020-12-11,soul,2020-12-11,2,0,9,66.22222222222223,0
2020-12-12,soul,2020-11-01,2,-29,1,80.0,-41
2020-12-12,soul,2020-11-06,2,-29,2,72.5,-36
2020-12-12,soul,2020-11-17,2,-25,4,70.0,-25
2020-12-12,soul,2020-11-18,2,-24,5,69.0,-24
2020-12-12,soul,2020-12-05,2,-7,6,68.33333333333333,-7
2020-12-12,soul,2020-12-08,2,-4,7,67.85714285714286,-4
2020-12-12,soul,2020-12-11,2,-1,8,67.5,-1
2020-12-13,soul,2020-11-17,2,-26,1,60.0,-26
2020-12-13,soul,2020-11-30,2,-13,2,62.5,-13
2020-12-13,soul,2020-12-03,2,-10,3,65.0,-10
2020-12-13,soul,2020-12-08,2,-5,4,65.0,-5
2020-12-13,soul,2020-12-09,2,-4,6,67.5,-4
2020-12-13,soul,2020-12-10,2,-3,7,67.14285714285714,-3
2020-12-14,soul,2020-11-16,1,-28,1,73.0,-28
2020-12-14,soul,2020-11-18,1,-26,2,71.5,-26
2020-12-14,soul,2020-11-20,1,-24,3,71.0,-24
2020-12-14,soul,2020-12-07,1,-7,4,72.0,-7
2020-12-14,soul,2020-12-11,1,-3,5,72.6,-3
2020-12-14,soul,2020-12-13,1,-1,7,74.42857142857143,-1
2020-12-15,soul,2020-11-12,1,-28,1,75.0,-33
2020-12-15,soul,2020-11-20,1,-25,2,72.5,-25
2020-12-15,soul,2020-12-04,1,-11,3,73.33333333333333,-11
2020-12-15,soul,2020-12-11,1,-4,4,72.5,-4
2020-12-15,soul,2020-12-12,1,-3,5,72.6,-3
2020-12-16,soul,2020-11-09,1,-29,1,75.0,-37
2020-12-16,soul,2020-11-16,1,-28,3,75.0,-30
2020-12-16,soul,2020-12-10,1,-6,4,75.0,-6
2020-12-16,soul,2020-12-11,1,-5,6,77.5,-5
2020-12-16,soul,2020-12-15,1,-1,7,77.85714285714286,-1
2020-12-17,soul,2020-12-11,2,-6,1,83.0,-6
2020-12-17,soul,2020-12-13,2,-4,2,81.5,-4
2020-12-17,soul,2020-12-14,2,-3,4,82.0,-3
2020-12-17,soul,2020-12-15,2,-2,6,81.33333333333333,-2
2020-12-17,soul,2020-12-16,2,-1,7,81.85714285714286,-1
2020-12-18,soul,2020-12-01,2,-17,1,73.0,-17
2020-12-18,soul,2020-12-07,2,-11,2,71.5,-11
2020-12-18,soul,2020-12-09,2,-9,3,71.0,-9
2020-12-18,soul,2020-12-14,2,-4,4,72.75,-4
2020-12-19,soul,2020-11-16,2,-28,1,60.0,-33
2020-12-19,soul,2020-11-26,2,-23,2,65.0,-23
2020-12-19,soul,2020-12-01,2,-18,3,68.33333333333333,-18
2020-12-19,soul,2020-12-07,2,-12,4,68.75,-12
2020-12-19,soul,2020-12-13,2,-6,6,71.33333333333333,-6
2020-12-19,soul,2020-12-14,2,-5,7,72.57142857142857,-5
2020-12-20,soul,2020-11-06,2,-30,1,65.0,-44
2020-12-20,soul,2020-11-14,2,-29,3,66.66666666666667,-36
2020-12-20,soul,2020-11-23,2,-27,4,67.5,-27
2020-12-20,soul,2020-12-01,2,-19,5,67.0,-19
2020-12-20,soul,2020-12-07,2,-13,7,66.85714285714286,-13
2020-12-20,soul,2020-12-09,2,-11,8,66.625,-11
2020-12-21,soul,2020-11-14,1,-29,1,70.0,-37
2020-12-22,soul,2020-11-17,1,-29,1,75.0,-35
2020-12-22,soul,2020-12-08,1,-14,2,67.5,-14
2020-12-23,soul,2020-10-23,3,-32,1,70.0,-61
2020-12-23,soul,2020-10-25,3,-32,2,70.0,-59
2020-12-23,soul,2020-10-31,3,-31,3,71.0,-53
2020-12-23,soul,2020-11-09,3,-30,4,70.75,-44
2020-12-23,soul,2020-12-02,3,-21,5,63.6,-21
2020-12-24,soul,2020-10-01,3,-36,1,65.0,-84
2020-12-24,soul,2020-11-08,3,-30,2,50.0,-46
2020-12-24,soul,2020-11-10,3,-30,3,49.333333333333336,-44
2020-12-24,soul,2020-11-13,3,-29,4,44.5,-41
2020-12-24,soul,2020-11-14,3,-29,5,41.6,-40
2020-12-24,soul,2020-11-16,3,-29,6,39.666666666666664,-38
2020-12-24,soul,2020-12-04,3,-20,7,36.142857142857146,-20
2020-12-25,soul,2020-10-15,3,-34,1,65.0,-71
2020-12-25,soul,2020-11-16,3,-29,2,47.5,-39
2020-12-26,soul,2020-10-18,2,-33,1,40.0,-69
2020-12-26,soul,2020-11-16,2,-29,2,52.5,-40
2020-12-26,soul,2020-11-17,2,-29,3,58.333333333333336,-39
2020-12-26,soul,2020-11-23,2,-28,4,60.0,-33
2020-12-26,soul,2020-11-24,2,-28,5,61.0,-32
2020-12-27,soul,2020-10-15,2,-34,1,68.0,-73
2020-12-27,soul,2020-11-10,2,-30,2,66.5,-47
2020-12-28,soul,2020-11-02,1,-32,1,0.0,-56
2020-12-28,soul,2020-11-05,1,-31,2,35.0,-53
2020-12-28,soul,2020-11-15,1,-30,3,46.666666666666664,-43
2020-12-28,soul,2020-11-23,1,-29,4,41.25,-35
2020-12-28,soul,2020-11-24,1,-28,5,47.0,-34
2020-12-28,soul,2020-11-29,1,-28,6,44.166666666666664,-29
2020-12-28,soul,2020-12-09,1,-19,7,42.142857142857146,-19
2020-12-29,soul,2020-10-27,1,-33,1,70.0,-63
2020-12-29,soul,2020-10-28,1,-32,2,67.5,-62
2020-12-29,soul,2020-11-03,1,-32,3,69.33333333333333,-56
2020-12-29,soul,2020-11-13,1,-30,4,69.5,-46
2020-12-29,soul,2020-12-12,1,-17,5,57.6,-17
2020-12-30,soul,2020-11-11,3,-31,1,70.0,-49
2020-12-30,soul,2020-11-19,3,-29,2,50.0,-41
2020-12-30,soul,2020-11-21,3,-29,3,43.333333333333336,-39
2020-12-30,soul,2020-12-11,3,-19,4,35.0,-19
2020-12-30,soul,2020-12-12,3,-18,5,30.0,-18
2020-12-31,soul,2020-11-08,3,-31,2,42.5,-53
2020-12-31,soul,2020-11-19,3,-30,4,35.0,-42
2020-12-31,soul,2020-12-11,3,-20,5,30.0,-20
2021-01-01,soul,2020-11-02,3,-32,1,0.0,-60
2021-01-01,soul,2020-11-16,3,-30,2,16.5,-46
2021-01-01,soul,2020-12-11,3,-21,3,16.0,-21
2021-01-03,soul,2020-12-09,3,-25,1,70.0,-25
2021-01-03,soul,2020-12-11,3,-23,2,70.0,-23
2021-01-03,soul,2020-12-15,3,-19,3,73.33333333333333,-19
2021-01-04,soul,2020-11-22,1,-30,1,70.0,-43
2021-01-04,soul,2020-12-05,1,-28,2,75.0,-30
2021-01-04,soul,2020-12-13,1,-22,3,76.66666666666667,-22
2021-01-04,soul,2020-12-15,1,-20,4,78.75,-20
2021-01-04,soul,2020-12-16,1,-19,5,79.0,-19
2021-01-05,soul,2020-12-03,1,-28,1,80.0,-33
2021-01-05,soul,2020-12-06,1,-28,2,77.5,-30
2021-01-05,soul,2020-12-09,1,-27,3,78.33333333333333,-27
2021-01-06,soul,2020-12-09,1,-28,1,80.0,-28
2021-01-07,soul,2020-11-19,2,-31,1,65.0,-49
2021-01-07,soul,2020-11-21,2,-30,2,65.0,-47
2021-01-08,soul,2020-12-12,2,-27,1,85.0,-27
2021-01-09,soul,2020-12-06,2,-28,1,80.0,-34
2021-01-10,soul,2020-11-07,2,-33,1,65.0,-64
2021-01-10,soul,2020-11-13,2,-32,2,67.5,-58
2021-01-10,soul,2020-11-17,2,-31,3,66.66666666666667,-54
2021-01-13,soul,2020-11-10,1,-33,1,75.0,-64
2021-01-13,soul,2020-11-18,1,-32,2,70.0,-56
2021-01-13,soul,2020-12-11,1,-28,3,71.66666666666667,-33
2021-01-16,soul,2020-11-15,2,-32,1,65.0,-62
2021-01-16,soul,2020-12-13,2,-28,2,75.0,-34
2021-01-16,soul,2020-12-16,2,-28,3,78.33333333333333,-31
2021-01-17,soul,2020-11-21,2,-32,1,65.0,-57
2021-01-17,soul,2020-12-06,2,-30,2,72.5,-42
2021-01-18,soul,2020-11-19,1,-32,1,65.0,-60
2021-01-18,soul,2020-11-30,1,-31,2,72.5,-49
2021-01-18,soul,2020-12-12,1,-29,3,76.66666666666667,-37
2021-01-23,soul,2020-11-24,2,-32,1,65.0,-60
2021-01-25,soul,2020-11-11,1,-34,1,70.0,-75
2021-01-25,soul,2020-12-15,1,-29,2,77.5,-41
2021-01-27,soul,2020-11-11,1,-35,1,65.0,-77
2021-01-28,soul,2020-11-12,2,-35,1,65.0,-77
2021-01-31,soul,2020-11-30,2,-32,1,75.0,-62
2021-01-31,soul,2020-12-04,2,-32,2,76.5,-58
2021-02-10,soul,2020-12-13,3,-32,1,65.0,-59
2021-02-11,soul,2020-11-17,3,-36,1,65.0,-86
2021-02-11,soul,2020-12-15,3,-32,2,65.0,-58
2021-02-19,soul,2020-11-26,2,-36,1,70.0,-85
2021-02-19,soul,2020-12-05,2,-34,2,72.5,-76
2021-02-21,soul,2020-11-24,2,-36,1,65.0,-89
2021-02-21,soul,2020-11-25,2,-36,2,65.0,-88
2021-02-26,soul,2020-12-07,2,-35,1,75.0,-81
2021-02-27,soul,2020-11-30,2,-36,1,75.0,-89
2021-02-27,soul,2020-12-12,2,-35,2,76.5,-77
